_time,_value
2021-04-11 20:00:00+00:00,1
2021-04-11 20:20:00+00:00,1
2021-04-11 20:30:00+00:00,0
2021-04-11 20:45:00+00:00,1
2021-04-11 21:55:00+00:00,0
2021-04-11 22:05:00+00:00,0
2021-04-12 07:05:00+00:00,1
2021-04-12 07:10:00+00:00,0
2021-04-12 07:15:00+00:00,0
2021-04-12 07:20:00+00:00,0
2021-04-12 07:55:00+00:00,1
2021-04-12 09:35:00+00:00,1
2021-04-12 09:45:00+00:00,0
2021-04-12 10:10:00+00:00,0
2021-04-12 10:50:00+00:00,0
2021-04-12 10:55:00+00:00,0
2021-04-12 11:00:00+00:00,1
2021-04-12 11:05:00+00:00,0
2021-04-12 11:35:00+00:00,0
2021-04-12 11:45:00+00:00,3
2021-04-12 12:05:00+00:00,3
2021-04-12 12:10:00+00:00,4
2021-04-12 12:15:00+00:00,3
2021-04-12 12:20:00+00:00,1
2021-04-12 12:25:00+00:00,1
2021-04-12 12:30:00+00:00,0
2021-04-12 13:30:00+00:00,1
2021-04-12 14:15:00+00:00,0
2021-04-12 14:40:00+00:00,0
2021-04-12 14:45:00+00:00,0
2021-04-12 14:50:00+00:00,0
2021-04-12 14:55:00+00:00,1
2021-04-12 15:20:00+00:00,0
2021-04-12 15:25:00+00:00,1
2021-04-12 15:30:00+00:00,2
2021-04-12 15:50:00+00:00,0
2021-04-12 16:15:00+00:00,1
2021-04-12 16:20:00+00:00,0
2021-04-12 16:25:00+00:00,0
2021-04-12 16:30:00+00:00,1
2021-04-12 16:35:00+00:00,0
2021-04-12 16:45:00+00:00,0
2021-04-12 17:05:00+00:00,1
2021-04-12 17:10:00+00:00,0
2021-04-12 17:15:00+00:00,0
2021-04-12 17:35:00+00:00,0
2021-04-12 17:40:00+00:00,0
2021-04-12 18:10:00+00:00,0
2021-04-12 18:20:00+00:00,0
2021-04-12 19:40:00+00:00,0
2021-04-12 19:55:00+00:00,0
2021-04-12 21:00:00+00:00,0
2021-04-12 21:10:00+00:00,1
2021-04-12 21:15:00+00:00,1
2021-04-12 22:30:00+00:00,0
2021-04-13 06:45:00+00:00,0
2021-04-13 06:55:00+00:00,0
2021-04-13 07:15:00+00:00,0
2021-04-13 07:25:00+00:00,0
2021-04-13 07:30:00+00:00,1
2021-04-13 07:35:00+00:00,1
2021-04-13 07:40:00+00:00,0
2021-04-13 09:00:00+00:00,1
2021-04-13 09:40:00+00:00,0
2021-04-13 10:40:00+00:00,1
2021-04-13 10:55:00+00:00,0
2021-04-13 14:50:00+00:00,1
2021-04-13 14:55:00+00:00,0
2021-04-13 16:30:00+00:00,1
2021-04-13 16:35:00+00:00,0
