_time,_value
2021-03-23 21:35:00+00:00,1016875
2021-03-23 21:40:00+00:00,1016965
2021-03-23 21:45:00+00:00,1016.9429850746266
2021-03-23 21:50:00+00:00,1016.9892307692306
2021-03-23 21:55:00+00:00,1016.9905223880597
2021-03-23 22:00:00+00:00,1016.9653030303027
2021-03-23 22:05:00+00:00,1016.9897500000001
2021-03-23 22:10:00+00:00,1016.9896850393703
2021-03-23 22:20:00+00:00,1017.0199999999995
2021-03-23 22:25:00+00:00,1017.0248275862069
2021-03-23 22:30:00+00:00,1017.0246428571428
2021-03-23 22:35:00+00:00,1016.9857142857142
2021-03-23 22:40:00+00:00,1016.9796428571427
2021-03-23 22:45:00+00:00,1016.9492857142858
2021-03-23 22:50:00+00:00,1016.9958620689653
2021-03-23 22:55:00+00:00,1017.0235714285715
2021-03-23 23:00:00+00:00,1016.9851724137931
2021-03-23 23:05:00+00:00,1017.0489655172414
2021-03-23 23:10:00+00:00,1017.0465517241378
2021-03-23 23:15:00+00:00,1017.0755172413795
2021-03-23 23:20:00+00:00,1017.1175862068966
2021-03-23 23:25:00+00:00,1017.1728571428573
2021-03-23 23:30:00+00:00,1017.2089655172414
2021-03-23 23:35:00+00:00,1017.2263333333333
2021-03-23 23:40:00+00:00,1017.2493103448274
2021-03-23 23:45:00+00:00,1017.3217241379309
2021-03-23 23:50:00+00:00,1017.3165517241381
2021-03-23 23:55:00+00:00,1017.3553333333332
2021-03-24 00:00:00+00:00,1017.3748275862067
2021-03-24 00:05:00+00:00,1017.4344827586207
2021-03-24 00:10:00+00:00,1017.4168965517241
2021-03-24 00:15:00+00:00,1017.4175862068965
2021-03-24 00:20:00+00:00,1017.454827586207
2021-03-24 00:25:00+00:00,1017.4262068965519
2021-03-24 00:30:00+00:00,1017.4362068965518
2021-03-24 00:35:00+00:00,1017.4927586206896
2021-03-24 00:40:00+00:00,1017.521379310345
2021-03-24 00:45:00+00:00,1017.5293103448274
2021-03-24 00:50:00+00:00,1017.5086206896556
2021-03-24 00:55:00+00:00,1017.444827586207
2021-03-24 01:00:00+00:00,1017.4099999999999
2021-03-24 01:05:00+00:00,1017.3224137931034
2021-03-24 01:10:00+00:00,1017.3137931034482
2021-03-24 01:15:00+00:00,1017.3241379310346
2021-03-24 01:20:00+00:00,1017.3386206896553
2021-03-24 01:25:00+00:00,1017.3448275862067
2021-03-24 01:30:00+00:00,1017.3493103448277
2021-03-24 01:35:00+00:00,1017.3244827586208
2021-03-24 01:40:00+00:00,1017.3293103448273
2021-03-24 01:45:00+00:00,1017337
2021-03-24 01:50:00+00:00,1017.3482758620688
2021-03-24 01:55:00+00:00,1017.3527586206897
2021-03-24 02:00:00+00:00,1017.3413793103449
2021-03-24 02:05:00+00:00,1017.2964285714287
2021-03-24 02:10:00+00:00,1017.2817857142857
2021-03-24 02:15:00+00:00,1017.2782142857141
2021-03-24 02:20:00+00:00,1017.228275862069
2021-03-24 02:25:00+00:00,1017.1882142857143
2021-03-24 02:30:00+00:00,1017.2382758620689
2021-03-24 02:35:00+00:00,1017.1889655172411
2021-03-24 02:40:00+00:00,1017.171724137931
2021-03-24 02:45:00+00:00,1017.2055172413794
2021-03-24 02:50:00+00:00,1017.238620689655
2021-03-24 02:55:00+00:00,1017.2131034482758
2021-03-24 03:00:00+00:00,1017.1996551724136
2021-03-24 03:05:00+00:00,1017.2348275862067
2021-03-24 03:10:00+00:00,1017.2049999999999
2021-03-24 03:15:00+00:00,1017.1772413793102
2021-03-24 03:20:00+00:00,1017.2013793103447
2021-03-24 03:25:00+00:00,1017.2217241379311
2021-03-24 03:30:00+00:00,1017.2135714285715
2021-03-24 03:35:00+00:00,1017.1913793103447
2021-03-24 03:40:00+00:00,1017.2113793103449
2021-03-24 03:45:00+00:00,1017.2520689655173
2021-03-24 03:50:00+00:00,1017.3196551724138
2021-03-24 03:55:00+00:00,1017.4113793103448
2021-03-24 04:00:00+00:00,1017.4496551724137
2021-03-24 04:05:00+00:00,1017471
2021-03-24 04:10:00+00:00,1017.5334482758618
2021-03-24 04:15:00+00:00,1017.5163333333337
2021-03-24 04:20:00+00:00,1017.5493103448279
2021-03-24 04:25:00+00:00,1017.5296551724139
2021-03-24 04:30:00+00:00,1017.508275862069
2021-03-24 04:35:00+00:00,1017.4924137931033
2021-03-24 04:40:00+00:00,1017.5537931034482
2021-03-24 04:45:00+00:00,1017.551724137931
2021-03-24 04:50:00+00:00,1017.5717857142855
2021-03-24 04:55:00+00:00,1017.5889655172415
2021-03-24 05:00:00+00:00,1017.6337931034484
2021-03-24 05:05:00+00:00,1017.6723333333333
2021-03-24 05:10:00+00:00,1017.7455172413793
2021-03-24 05:15:00+00:00,1017.8241379310346
2021-03-24 05:20:00+00:00,1017.8693103448276
2021-03-24 05:25:00+00:00,1017.9682758620692
2021-03-24 05:30:00+00:00,1018.0236666666666
2021-03-24 05:35:00+00:00,1018.0496428571431
2021-03-24 05:40:00+00:00,1018.0399999999998
2021-03-24 05:45:00+00:00,1018.0726666666666
2021-03-24 05:50:00+00:00,1018.1296551724138
2021-03-24 05:55:00+00:00,1018.1689655172411
2021-03-24 06:00:00+00:00,1018.2010344827585
2021-03-24 06:05:00+00:00,1018.2429999999998
2021-03-24 06:10:00+00:00,1018.248148148148
2021-03-24 06:15:00+00:00,1018.2555172413793
2021-03-24 06:20:00+00:00,1018.251333333333
2021-03-24 06:25:00+00:00,1018.2210344827586
2021-03-24 06:30:00+00:00,1018.2537931034484
2021-03-24 06:35:00+00:00,1018.2951724137929
2021-03-24 06:40:00+00:00,1018.319310344828
2021-03-24 06:45:00+00:00,1018.3041379310342
2021-03-24 06:50:00+00:00,1018.2934482758621
2021-03-24 06:55:00+00:00,1018.3151724137932
2021-03-24 07:00:00+00:00,1018.3016666666664
2021-03-24 07:05:00+00:00,1018.3513793103448
2021-03-24 07:10:00+00:00,1018.4213793103448
2021-03-24 07:15:00+00:00,1018.4410344827584
2021-03-24 07:20:00+00:00,1018.4924137931035
2021-03-24 07:25:00+00:00,1018.5804000000003
2021-03-24 07:30:00+00:00,1018.6155172413793
2021-03-24 07:35:00+00:00,1018.6148275862068
2021-03-24 07:40:00+00:00,1018.6413793103447
2021-03-24 07:45:00+00:00,1018.6679310344831
2021-03-24 07:50:00+00:00,1018.6596551724137
2021-03-24 07:55:00+00:00,1018.7172413793104
2021-03-24 08:00:00+00:00,1018.7348275862071
2021-03-24 08:05:00+00:00,1018.7113793103449
2021-03-24 08:10:00+00:00,1018.6986206896553
2021-03-24 08:15:00+00:00,1018.6772413793103
2021-03-24 08:20:00+00:00,1018.6720689655173
2021-03-24 08:25:00+00:00,1018745
2021-03-24 08:30:00+00:00,1018.7564285714287
2021-03-24 08:35:00+00:00,1018.7696296296295
2021-03-24 08:40:00+00:00,1018.7917857142858
